claim_id,policy_id,claim_date,claim_type,claim_amount,status
CLM00380,POL00075,2023-08-15,Dégât des eaux,11176.47,En cours d'expertise
CLM00381,POL00083,2023-02-09,Sinistre matériel,17459.43,Ouvert
CLM00382,POL00033,2025-06-16,Sinistre matériel,4305.67,Clos
CLM00383,POL00108,30/09/2024,Vol,8426.77,Clos
CLM00384,POL00193,2023-10-27,Vol,13995.4,Clos
CLM00385,POL00216,27/05/2024,Sinistre matériel,2327.01,Ouvert
CLM00386,POL00114,2024-05-21,Sinistre matériel,3705.36,Ouvert
CLM00387,POL00054,26/08/2025,Vol,16861.44,En cours d'expertise
CLM00388,POL00141,2025-12-02,Vol,8739.95,Clos
CLM00389,POL00171,2024-03-22,Sinistre corporel,11447.43,Ouvert
CLM00390,POL00150,03/09/2023,Sinistre corporel,309.4,En cours d'expertise
CLM00391,POL00153,14/11/2023,Sinistre matériel,4589.69,En cours d'expertise
CLM00392,POL00195,2026-07-04,Sinistre matériel,6495.99,En cours d'expertise
CLM00393,POL00033,2025-09-26,Vol,17672.91,Clos
CLM00394,POL00113,2024-01-31,Dégât des eaux,6543.29,Ouvert
CLM00395,POL00113,18/02/2026,Bris de glace,12592.12,Ouvert
CLM00396,POL00083,17/08/2025,Bris de glace,16473.36,Ouvert
CLM00397,POL00116,28/08/2024,Bris de glace,124661.82,Clos
CLM00398,POL00005,23/06/2026,Bris de glace,4412.34,En cours d'expertise
CLM00399,POL00210,2025-03-04,Bris de glace,12345.55,Ouvert
CLM00400,POL00083,2025-04-19,Vol,2121.78,Ouvert
CLM00401,POL00034,2024-01-01,Sinistre corporel,2060.93,Ouvert
CLM00402,POL00215,2025-03-06,Dégât des eaux,,Clos
CLM00403,POL00057,2026-05-25,Sinistre matériel,383.59,En cours d'expertise
CLM00404,POL00214,13/06/2023,Sinistre matériel,6592.53,Clos
CLM00405,POL00204,2023-04-30,Vol,9593.02,Clos
CLM00406,POL00056,2025-11-29,Sinistre matériel,13094.32,Ouvert
CLM00407,POL00169,2024-05-24,Sinistre corporel,10117.86,En cours d'expertise
CLM00408,POL00164,26/03/2026,Dégât des eaux,12690.52,Ouvert
CLM00409,POL00047,31/01/2026,Bris de glace,6174.6,En cours d'expertise
CLM00410,POL00091,2024-10-07,Vol,15230.64,En cours d'expertise
CLM00411,POL00186,2024-10-24,Sinistre corporel,10202.13,En cours d'expertise
CLM00412,POL00066,07/01/2025,Dégât des eaux,82426.4,Clos
CLM00413,POL00133,04/10/2023,Sinistre matériel,5510.96,Clos
CLM00414,POL09841,2024-07-19,Bris de glace,10080.37,Ouvert
CLM00415,POL00118,2024-12-29,Sinistre corporel,4880.04,Ouvert
CLM00416,POL00208,2024-09-07,Bris de glace,7286.4,En cours d'expertise
CLM00417,POL00084,2025-09-15,Dégât des eaux,,En cours d'expertise
CLM00418,POL00025,2026-05-04,Vol,817.08,Clos
CLM00419,POL00015,15/11/2024,Dégât des eaux,7584.91,Ouvert
CLM00420,POL00218,2026-05-18,Dégât des eaux,1116.18,Clos
CLM00421,POL00039,2024-10-31,Sinistre corporel,2884.58,Clos
CLM00422,POL00193,2026-05-03,Bris de glace,1757.98,Clos
CLM00423,POL00087,19/06/2023,Bris de glace,13453.87,Clos
CLM00424,POL00129,2025-06-08,Sinistre corporel,13752.29,Ouvert
CLM00425,POL00167,2026-03-16,Bris de glace,11145.54,Ouvert
CLM00426,POL00069,30/05/2025,Bris de glace,1749.26,Clos
CLM00427,POL00049,18/10/2024,Bris de glace,11849.07,Ouvert
CLM00428,POL00158,2025-06-24,Sinistre corporel,8012.27,Ouvert
CLM00429,POL00096,2023-11-16,Sinistre matériel,2155.84,En cours d'expertise
CLM00430,POL00214,2024-08-12,Vol,12534.24,Clos
CLM00431,POL00085,2024-03-04,Bris de glace,3931.97,Clos
CLM00432,POL00160,2023-10-17,Sinistre matériel,6872.43,En cours d'expertise
CLM00433,POL00044,04/05/2023,Sinistre corporel,14237.01,Ouvert
CLM00434,POL00003,17/05/2023,Vol,11984.22,Clos
CLM00435,POL00005,2024-08-22,Dégât des eaux,4276.36,En cours d'expertise
CLM00436,POL00081,2025-09-19,Bris de glace,1721.17,Clos
CLM00437,POL00183,2023-02-14,Sinistre corporel,16612.52,Clos
CLM00438,POL00041,07/02/2023,Vol,6493.5,En cours d'expertise
CLM00439,POL00016,05/07/2026,Dégât des eaux,16043.68,Ouvert
CLM00440,POL00072,2024-04-06,Vol,16164.58,Ouvert
CLM00441,POL00134,2026-06-08,Sinistre corporel,7599.4,Clos
CLM00442,POL00155,05/11/2024,Bris de glace,2502.13,En cours d'expertise
CLM00443,POL00205,2024-02-19,Vol,,Ouvert
CLM00444,POL00198,2023-10-25,Bris de glace,16520.45,En cours d'expertise
CLM00445,POL00185,2023-08-31,Vol,15135.48,Ouvert
CLM00446,POL00106,22/04/2025,Dégât des eaux,13459.13,En cours d'expertise
CLM00447,POL00071,2023-11-08,Sinistre matériel,2498.09,En cours d'expertise
CLM00448,POL00156,2026-03-07,Sinistre corporel,10795.04,Ouvert
CLM00449,POL00177,2025-09-03,Bris de glace,15253.57,En cours d'expertise
CLM00450,POL00219,04/03/2025,Dégât des eaux,2604.6,Ouvert
CLM00451,POL00004,06/07/2024,Sinistre corporel,13401.24,Ouvert
CLM00452,POL00113,17/06/2026,Vol,15621.93,Clos
CLM00453,POL00011,2026-05-30,Dégât des eaux,13005.59,En cours d'expertise
CLM00454,POL00138,2025-12-11,Sinistre matériel,9443.59,Ouvert
CLM00455,POL00063,2025-11-28,Dégât des eaux,17711.38,Clos
CLM00456,POL00162,2023-04-11,Vol,7996.04,Clos
CLM00457,POL00109,2024-08-25,Sinistre matériel,,Clos
CLM00458,POL00116,2023-07-05,Bris de glace,2170.11,En cours d'expertise
CLM00459,POL00101,26/04/2025,Dégât des eaux,,En cours d'expertise
CLM00460,POL00117,04/07/2023,Vol,12497.16,Ouvert
CLM00461,POL00032,2023-07-06,Dégât des eaux,11468.19,En cours d'expertise
CLM00462,POL00203,2025-11-13,Sinistre corporel,6909.41,Ouvert
CLM00463,POL00145,2023-11-04,Sinistre corporel,3342.77,Clos
CLM00464,POL00187,02/07/2025,Sinistre corporel,2248.34,Ouvert
CLM00465,POL09783,2024-06-02,Dégât des eaux,9032.65,Ouvert
CLM00466,POL00127,2024-05-02,Bris de glace,11921.55,Clos
CLM00467,POL00154,2023-01-14,Bris de glace,5114.32,Ouvert
CLM00468,POL00038,2023-04-23,Vol,805.47,En cours d'expertise
CLM00469,POL00155,03/09/2024,Sinistre matériel,1025.21,Ouvert
CLM00470,POL00073,2026-06-05,Bris de glace,10365.24,Clos
CLM00471,POL00093,2023-03-15,Vol,5912.37,Ouvert
CLM00472,POL00216,2026-02-01,Vol,8554.08,Clos
CLM00473,POL00106,2025-12-10,Sinistre corporel,11075.16,En cours d'expertise
CLM00474,POL00136,29/06/2023,Bris de glace,16819.97,Clos
CLM00475,POL00218,10/10/2024,Bris de glace,10416.3,Ouvert
CLM00476,POL00128,2025-11-30,Dégât des eaux,8941.2,En cours d'expertise
CLM00477,POL00075,2024-02-01,Sinistre matériel,578.16,Ouvert
CLM00478,POL00054,14/06/2026,Dégât des eaux,962.04,En cours d'expertise
CLM00479,POL00164,2024-02-17,Vol,4691.35,Clos
CLM00480,POL00083,2023-01-13,Vol,6243.3,En cours d'expertise
CLM00015,POL00152,2023-12-25,Dégât des eaux,11409.65,Clos
CLM00100,POL00024,2023-07-14,Sinistre corporel,8073.84,Ouvert
CLM00174,POL00165,19/01/2026,Sinistre corporel,7916.71,Ouvert
CLM00246,POL00131,2026-02-25,Dégât des eaux,19962.7,Ouvert
CLM00409,POL00047,31/01/2026,Bris de glace,5027.5,En cours d'expertise
CLM00070,POL00190,2024-05-14,Sinistre corporel,9927.57,Clos
